Prisoner_ID,Prisoner_Name,Section,Escape Risk,Influence Risk,Previous_Convictions,Severity(%),Bailable,Cognizable,Compoundable,Offence,Behavior,Special Statutes
1,Rajesh Kumar,IPC_140,No,No,3,5,True,True,Yes,"Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",Neutral,Offences Against the State
2,Sunita Singh,IPC_212,No,No,1,30,True,True,Yes,"Harbouring an offender, If the offence be capital",Neutral,Offences Against the State
3,Pooja Sharma,IPC_299,No,No,2,90,False,True,No,Culpable Homicide,Neutral,None
4,Mohan Lal,IPC_154,No,No,0,10,True,False,Yes,"Owner or occupier of land non giving information of riot, etc.",Neutral,Offences Against the State
5,Asha Devi,IPC_233,Yes,Yes,4,70,False,True,No,"Making, buying or selling instrument for the purpose of counterfeiting coin",Disciplinary issues,Offences Against the State
6,Deepak Gupta,IPC_318,No,No,0,60,True,True,Yes,Concealment of birth by secret disposal of dead body,Neutral,Crimes Against Children
7,Anil Bhatt,IPC_217,Yes,Yes,3,20,True,False,Yes,"Public servant disobeying a direction of law with intent to save person from punishment, or property from forfeiture",Disciplinary issues,Offences Against the State
8,Rekha Yadav,IPC_193,No,No,2,50,True,False,Yes,Giving or fabricating false evidence in a judicial proceeding,Disciplinary issues,Offences Against the State
9,Suresh Patil,IPC_372,No,No,1,80,False,True,No,"Selling or letting to hire a minor for purposes of prostitution, etc.",Good behaviour,Crimes Against Children
10,Priya Malhotra,IPC_235,Yes,Yes,4,75,False,True,No,Possession of instrument or material for the purpose of using the same for counterfeiting coin,Good behaviour,Economic Offense
11,Vivek Sharma,IPC_264,Yes,No,3,40,True,False,Yes,Fraudulent use of false instrument for weighing,Good behaviour,Economic Offense
12,Shweta Mehta,IPC_296,No,Yes,5,50,True,True,Yes,Causing a disturbance to an assembly engaged in religious worship,Disciplinary issues,Crimes Against Religion
13,Ravi Kumar,IPC_145,No,No,0,60,True,True,Yes,"Joining or continuing in an unlawful assembly, Knowing that it has been commanded to disperse",Neutral,Offences Against the State
14,Anjali Singh,IPC_138,No,No,1,10,True,True,Yes,"Abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence",Neutral,Offences Against the State
15,Sandeep Kumar,IPC_331,Yes,Yes,2,90,False,True,No,"Voluntarily causing grievous hurt to extort confession or information or to compel restoration of property, etc.",Good behaviour,None
16,Aarti Patel,IPC_400,No,No,3,80,False,True,No,Belonging to a gang of persons associated for the purpose of habitually committing Dacoity,Neutral,Economic Offences
17,Rajesh Sharma,IPC_366,No,Yes,0,75,False,True,No,Kidnapping or abducting a woman to compel her marriage or to cause her defilement etc.,Neutral,Crimes Against Women
18,Neeta Gupta,IPC_171,No,No,4,30,False,True,No,As described,Neutral,Offences Against the State
19,Deepak Sharma,IPC_378,Yes,Yes,2,50,False,True,Yes,Theft,Good behaviour,None
20,Sonali Yadav,IPC_189,No,No,1,30,True,False,Yes,"Threatening a public servant with injury to him or one in whom he is interested, to induce him to do or forbear to do any official act",Good behaviour,Offences Against the State
21,Arun Sharma,IPC_263A,No,Yes,3,40,True,True,Yes,Fictitious stamps,Disciplinary issues,Economic Offense
22,Neelam Kumar,IPC_175,Yes,No,6,40,True,False,Yes,Intentionally omitting to produce a document to a public servant by a person legally bound to produce deliver such document,Neutral,Offences Against the State
23,Ravi Patel,IPC_187,Yes,Yes,0,45,True,False,Yes,Omission to assist public servant when bound by law to give such assistance,Neutral,Offences Against the State
24,Maya Singh,IPC_279,No,No,2,60,True,True,Yes,"Driving or riding on a public way so rashly or negligently as to endanger human life, etc.",Good behaviour,None
25,Rajat Gupta,IPC_327,No,Yes,4,70,False,True,No,"Voluntarily causing hurt to extort property or a valuable security, or to constrain to do anything illegal",Disciplinary issues,None
26,Simran Kaur,IPC_258,No,No,1,70,False,True,No,Sale of counterfeit Government stamp,Neutral,Economic Offense
